date,description,amount,reference
2024-11-14,INTERCOMPANY TRANSFER #0041,46732.7,GL20240041
2024-11-14,LEGAL FEES - LINKLATERS #0033,-45979.75,GL20240033
2024-11-02,PAYROLL DISBURSEMENT #0039,1524.21,GL20240039
2024-11-03,MARKETING EXPENSE - WPP #0013,-65160.67,GL20240013
2024-11-04,AUDIT SERVICES - DELOITTE #0010,41409.18,GL20240010
2024-11-12,CONSULTING FEE - KPMG #0024,-53975.34,GL20240024
2024-11-03,CONSULTING FEE - KPMG #0011,-25559.92,GL20240011
2024-11-05,INSURANCE PREMIUM - MARSH #0035,-57140.55,GL20240035
2024-11-21,TRAINING EXPENSE - COURSERA #0034,61549.3,GL20240034
2024-10-31,RENT PAYMENT - PROPERTY MGT #0001,22308.29,GL20240001
2024-11-24,RENT PAYMENT - PROPERTY MGT #0048,-7404.21,GL20240048
2024-11-27,INSURANCE PREMIUM - MARSH #0021,77635.44,GL20240021
2024-11-17,MAINTENANCE SERVICE - OTIS #0032,66101.78,GL20240032
2024-11-03,OFFICE SUPPLIES - STAPLES #0002,-40817.3,GL20240002
2024-11-16,LOAN REPAYMENT #0008,-12876.83,GL20240008
2024-11-05,DIVIDEND RECEIPT #0045,28845.35,GL20240045
2024-11-23,EQUIPMENT LEASE - DELL #0020,25802.13,GL20240020
2024-11-29,LEGAL FEES - LINKLATERS #0016,5796.49,GL20240016
2024-11-12,PAYROLL DISBURSEMENT #0004,-66089.79,GL20240004
2024-11-16,RENT PAYMENT - PROPERTY MGT #0036,39198.24,GL20240036
2024-11-13,PAYROLL DISBURSEMENT #0029,-44861.57,GL20240029
2024-11-03,PAYROLL DISBURSEMENT #0019,-49233.83,GL20240019
2024-11-27,DIVIDEND RECEIPT #0003,28271.92,GL20240003
2024-11-30,DIVIDEND RECEIPT #0028,-19287.13,GL20240028
2024-11-16,RENT PAYMENT - PROPERTY MGT #0043,79379.42,GL20240043
2024-11-25,SOFTWARE LICENSE - ADOBE #0049,75502.1,GL20240049
2024-11-07,TRAINING EXPENSE - COURSERA #0027,36660.29,GL20240027
2024-11-12,LOAN REPAYMENT #0018,61672.28,GL20240018
2024-11-06,INSURANCE PREMIUM - MARSH #0005,-75232.44,GL20240005
2024-11-13,RENT PAYMENT - PROPERTY MGT #0022,58637.39,GL20240022
2024-11-22,UTILITY PAYMENT - ENERGY CO #0025,27228.03,GL20240025
2024-11-28,MARKETING EXPENSE - WPP #0023,-7454.35,GL20240023
2024-11-01,DIVIDEND RECEIPT #0006,856.85,GL20240006
2024-11-28,VENDOR PAYMENT - ACME SUPPLIES #0009,-35489.49,GL20240009
2024-11-20,RENT PAYMENT - PROPERTY MGT #0014,55599.1,GL20240014
2024-11-07,TRAVEL REIMBURSEMENT #0038,-16095.92,GL20240038
2024-11-12,INTERCOMPANY TRANSFER #0017,-67391.97,GL20240017
2024-11-14,SOFTWARE LICENSE - ADOBE #0047,-62151.65,GL20240047
2024-11-13,OFFICE SUPPLIES - STAPLES #0012,73154.09,GL20240012
2024-11-24,TRAINING EXPENSE - COURSERA #0015,49140.52,GL20240015
2024-11-04,SOFTWARE LICENSE - ADOBE #0040,57776.47,GL20240040
2024-11-19,DIVIDEND RECEIPT #0007,-48185.98,GL20240007
2024-10-31,MAINTENANCE SERVICE - OTIS #0030,-43352.31,GL20240030
2024-11-29,VENDOR PAYMENT - ACME SUPPLIES #0044,75372.54,GL20240044
2024-11-25,MAINTENANCE SERVICE - OTIS #0046,40140.45,GL20240046
2024-11-30,LATE POSTING - TIMING ITEM 01,-1457.02,GL99990001
2024-11-29,LATE POSTING - TIMING ITEM 02,-888.98,GL99990002
2024-11-28,LATE POSTING - TIMING ITEM 03,3638.37,GL99990003
